nama_organisasi,kode_jabatan,kelompok_jabatan,bod_level,nama_jabatan,id_jobfamily,komoditas
SUPP,SUPR00339,Kepala Sub Bagian (Region Office),2,Kepala Sub Bagian Tanaman Tebu dan Tembakau,33,"Tebu, Tembakau "
SUPP,SUPR00340,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi Tanaman Kelapa Sawit dan Tebu,33,"Kelapa Sawit, Tebu"
SUPP,SUPR00341,Asisten Holding/Sub Holding/Regional,3,"Asisten Administrasi Tanaman Karet, Kopi dan Teh",33,"Karet, Kopi, Teh"
SUPP,SUPR00342,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi Tanaman Tebu,33,Tebu
SUPP,SUPR00343,Asisten Holding/Sub Holding/Regional,3,"Asisten Administrasi Tanaman Kayu, Kopi dan Karet",33,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00344,Asisten Holding/Sub Holding/Regional,3,"Asisten Administrasi Tanaman Karet, Kelapa dan Ternak",33,"Karet, Kelapa, Ternak"
SUPP,SUPR00345,Asisten Holding/Sub Holding/Regional,3,Asisten Operasional Tanaman Tebu dan Tembakau,33,"Tebu, Tembakau "
SUPP,SUPR00346,Asisten Holding/Sub Holding/Regional,3,Asisten Operasional Tanaman Karet dan Kelapa,33,"Karet, Kelapa"
SUPP,SUPR00347,Asisten Holding/Sub Holding/Regional,3,Asisten Pemeliharaan dan Proteksi Tanaman Kelapa Sawit dan Tebu,33,"Kelapa Sawit, Tebu"
SUPP,SUPR00348,Asisten Holding/Sub Holding/Regional,3,"Asisten Pemeliharaan dan Proteksi Tanaman Karet, Kopi dan Teh",33,"Karet, Kopi, Teh"
SUPP,SUPR00349,Asisten Holding/Sub Holding/Regional,3,Asisten Pemeliharaan dan Proteksi Tanaman Tebu,33,Tebu
SUPP,SUPR00350,Asisten Holding/Sub Holding/Regional,3,"Asisten Pemeliharaan dan Proteksi Tanaman Kayu, Kopi dan Karet",33,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00351,Asisten Holding/Sub Holding/Regional,3,Asisten Pengawasan Pengolahan Tebu,19,Tebu
SUPP,SUPR00352,Asisten Holding/Sub Holding/Regional,3,"Asisten Pengawasan Pengolahan Kayu, Kopi dan Karet",19,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00353,Asisten Holding/Sub Holding/Regional,3,"Asisten Sarana Produksi dan Investasi Produksi Kayu, Kopi dan Karet",19,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00354,Asisten/Staff bidang  (Unit/Distrik/Cluster),3,"Asisten Teknik dan Pengolahan Karet, Kopi dan Teh",19,"Karet, Kopi, Teh"
SUPP,SUPR00355,Asisten/Staff bidang  (Unit/Distrik/Cluster),3,"Asisten Teknik dan Pengolahan Kayu, Kopi dan Karet",19,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00356,Asisten Holding/Sub Holding/Regional,3,Asisten Teknik Sipil Traksi Tebu dan tembakau,19,"Tebu, Tembakau "
SUPP,SUPR00357,Asisten Holding/Sub Holding/Regional,3,Asisten Teknik Sipil Traksi Karet dan Teh,19,"Karet, Teh "
SUPP,SUPR00358,Asisten Holding/Sub Holding/Regional,3,Asisten Administrasi Tanaman Karet dan Teh,33,"Karet, Teh"
SUPP,SUPR00359,Asisten Holding/Sub Holding/Regional,3,"Asisten Sarana Produksi dan Investasi Produksi Karet, Kopi dan Teh",33,"Karet, Kopi, Teh"
SUPP,SUPR00361,Asisten Holding/Sub Holding/Regional,3,Asisten Pemupukan Kelapa Sawit dan Tebu,33,"Kelapa Sawit, Tebu"
SUPP,SUPR00362,Asisten Holding/Sub Holding/Regional,3,"Asisten Pemupukan karet, Kopi dan Teh",33,"Karet, Kopi, Teh"
SUPP,SUPR00363,Asisten Holding/Sub Holding/Regional,3,Asisten Pemupukan Tebu,33,Tebu
SUPP,SUPR00364,Asisten Holding/Sub Holding/Regional,3,Asisten Pemupukan Aneka Tanaman,33,"Kayu, Kopi, Karet, Kakao, Teh"
SUPP,SUPR00365,Asisten Holding/Sub Holding/Regional,3,Asisten Pemupukan Karet dan Kelapa,33,"Karet, Kelapa"
SUPP,SUPR00366,Asisten/Staff bidang  (Unit/Distrik/Cluster),3,Asisten Teknik dan Pengolahan Teh,19,Teh
